artist,total_revenue,total_streams,avg_revenue_per_stream
F A Sumon,9318.86161613,165875.0,0.056180024814649586
Kaushik Chakraborty,998.3939743400001,17704.0,0.05639369489042025
Arijit Singh,755.22807357,13443.0,0.056180024813657664
S.P. Venkatesh,677.85,9038.0,0.075
Pratik Sen,616.96172905,8722.0,0.07073626794886494
Shreya Ghoshal,570.95759219,10163.0,0.05618002481452327
Iman Chakraborty,496.48197913999996,8836.0,0.056188544492983244
Rupam Islam,479.57873634,6762.0,0.07092261702750666
Anupam Roy,475.93856352,8404.0,0.05663238499762018
Rabindranath Tagore,422.4,5632.0,0.075
Banasri Ghoshal,415.41604319,5571.0,0.0745675898743493
Palash Das,395.00175446,7031.0,0.05618002481297112
Parikshit Bala,367.89725844000003,6103.0,0.060281379393740786
Indradeep Dasgupta,317.38118003,4232.0,0.07499555293714556
Shampa Haque,305.84405504999995,5444.0,0.0561800248071271
Dr. Shantanu Bhowmik,302.4,4032.0,0.075
Salim Nehaly,280.73158405,4997.0,0.05618002482489493
Saju Ahmed,280.0012437,4984.0,0.05618002481942214
Sreeradha Bandyopadhyay,211.15928114000002,2827.0,0.07469376764768307
Mithu Das Baul  Sukumar Das Baul,210.67499999999998,2809.0,0.075
